Date,Open,High,Low,Close,Adj Close,Volume
2010-12-16,17.980000,18.040001,17.520000,17.700001,13.399380,58127610
2010-12-17,17.700001,17.799999,17.520000,17.620001,13.338819,73158915
2010-12-20,17.600000,17.780001,17.200001,17.719999,13.414520,53302333
2010-12-21,17.700001,18.280001,17.700001,18.260000,13.823315,39919162
2010-12-22,18.320000,18.440001,18.219999,18.379999,13.914160,32681443
2010-12-23,18.600000,18.600000,18.080000,18.260000,13.823315,23652072
2010-12-24,18.400000,18.400000,18.080000,18.180000,13.762753,13375863
2010-12-28,18.010000,18.010000,17.820000,18.000000,13.626487,36762907
2010-12-29,18.180000,18.500000,18.139999,18.459999,13.974719,30821321
2010-12-30,18.580000,18.680000,18.160000,18.200001,13.777891,41591091
2010-12-31,18.120001,18.540001,18.120001,18.440001,13.959581,32650449
2011-01-03,18.580000,19.000000,18.440001,18.980000,14.368373,38123473
2011-01-04,18.620001,18.980000,18.620001,18.820000,14.247248,50160223
2011-01-05,18.700001,18.740000,18.500000,18.540001,14.035283,53258492
2011-01-06,18.639999,18.879999,18.559999,18.840000,14.262391,39217788
2011-01-07,18.520000,18.600000,18.320000,18.840000,14.262391,56820946
2011-01-10,18.500000,18.879999,18.459999,18.620001,14.095846,44146107
2011-01-11,18.900000,19.160000,18.740000,19.040001,14.413797,48694310
2011-01-12,19.280001,19.600000,19.200001,19.340000,14.640903,55314411
2011-01-13,19.240000,19.240000,19.240000,19.240000,14.565203,2553081
2011-01-14,19.299999,19.440001,19.020000,19.040001,14.413797,43501963
2011-01-17,19.219999,19.240000,18.940001,19.100000,14.459217,29145606
2011-01-18,19.020000,19.340000,18.879999,18.940001,14.338092,36510920
2011-01-19,19.100000,19.480000,18.920000,19.400000,14.686325,35156177
2011-01-20,19.280001,19.280001,18.980000,19.020000,14.398655,35472864
2011-01-21,18.559999,18.780001,18.559999,18.639999,14.110985,62594133
2011-01-24,18.959999,19.000000,18.559999,18.840000,14.262391,44157867
2011-01-25,19.059999,19.100000,18.700001,18.719999,14.171548,36679653
2011-01-26,18.680000,18.980000,18.520000,18.680000,14.141265,43184773
2011-01-27,18.559999,18.860001,18.480000,18.620001,14.095846,45401485
2011-01-28,18.240000,18.240000,17.299999,17.320000,13.111709,185586126
2011-01-31,16.920000,17.260000,16.820000,17.200001,13.020869,183770146
2011-02-01,17.320000,17.860001,17.320000,17.660000,13.369098,124795145
2011-02-02,17.860001,17.900000,17.760000,17.799999,13.475079,47936638
2011-02-07,17.680000,17.740000,17.200001,17.260000,13.066287,63996057
2011-02-08,17.415001,17.299999,16.820000,16.900000,12.793758,121584572
2011-02-09,16.920000,16.980000,16.240000,16.420000,12.430385,132462147
2011-02-10,16.240000,16.559999,16.080000,16.120001,12.203278,94779392
2011-02-11,16.200001,16.500000,15.700000,16.440001,12.445526,96944861
2011-02-14,16.600000,16.820000,16.379999,16.719999,12.657490,79571326
2011-02-15,16.780001,16.840000,16.480000,16.520000,12.506088,51773261
2011-02-16,16.700001,16.959999,16.440001,16.840000,12.748337,55524979
2011-02-17,17.059999,17.260000,16.980000,17.160000,12.990584,78037302
2011-02-18,17.100000,17.320000,17.100000,17.280001,13.081428,70205992
2011-02-21,17.400000,17.719999,17.299999,17.580000,13.308537,74119732
2011-02-22,17.879999,17.879999,17.660000,17.799999,13.475079,104128372
2011-02-23,17.600000,17.760000,17.440001,17.500000,13.247974,64765783
2011-02-24,17.700001,17.799999,17.280001,17.459999,13.217692,63153463
2011-02-25,17.500000,17.780001,17.240000,17.639999,13.353959,62392101
2011-02-28,17.500000,17.760000,17.260000,17.680000,13.384238,67954119
2011-03-01,17.879999,18.040001,17.719999,18.000000,13.626487,59571022
2011-03-02,17.860001,17.900000,17.700001,17.840000,13.505363,57587443
2011-03-03,17.879999,17.959999,17.540001,17.600000,13.323675,54126621
2011-03-04,17.799999,17.900000,17.700001,17.820000,13.490223,50887173
2011-03-07,17.719999,18.340000,17.680000,18.160000,13.747611,90621409
2011-03-08,18.180000,18.400000,17.959999,18.379999,13.914160,72345035
2011-03-09,18.320000,18.379999,18.200001,18.320000,13.868735,51746678
2011-03-10,18.480000,18.480000,17.900000,18.080000,13.687050,48608579
2011-03-11,17.959999,17.959999,17.420000,17.660000,13.369098,53397821
2011-03-14,17.420000,17.940001,17.299999,17.900000,13.550783,56730707
2011-03-15,17.920000,17.920000,17.080000,17.260000,13.066287,89366011
2011-03-16,17.100000,17.340000,17.000000,17.299999,13.096568,72895603
2011-03-17,16.920000,17.280001,16.920000,17.260000,13.066287,54244365
2011-03-18,17.379999,17.600000,17.120001,17.240000,13.051147,97198580
2011-03-21,17.080000,17.959999,17.080000,17.860001,13.520502,92034271
2011-03-22,18.000000,18.459999,17.900000,18.400000,13.929295,109852129
2011-03-23,18.459999,18.500000,18.260000,18.440001,13.959581,58829992
2011-03-24,18.760000,18.860001,18.719999,18.780001,14.216969,75943683
2011-03-25,18.799999,19.000000,18.740000,18.980000,14.368373,49095369
2011-03-28,18.920000,19.139999,18.700001,18.700001,14.156407,50216064
2011-03-29,18.520000,19.120001,18.520000,19.020000,14.398655,74113630
2011-03-30,19.059999,19.500000,19.059999,19.459999,14.731749,80257680
2011-03-31,19.780001,19.799999,19.280001,19.600000,14.837731,61320524
2011-04-01,19.799999,20.549999,19.700001,20.500000,15.519053,79753085
2011-04-04,20.450001,21.299999,20.549999,20.850000,15.784021,79789755
