Date,Open,High,Low,Close,Adj Close,Volume
2004-03-17,3.370000,3.370000,3.370000,3.370000,2.104907,0
2004-03-18,3.340000,3.340000,3.340000,3.340000,2.086169,0
2004-03-19,3.350000,3.350000,3.350000,3.350000,2.092414,0
2004-03-22,3.350000,3.350000,3.350000,3.350000,2.092414,0
2004-03-23,3.340000,3.340000,3.340000,3.340000,2.086169,0
2004-03-24,3.270000,3.270000,3.270000,3.270000,2.042446,0
2004-03-25,3.240000,3.240000,3.240000,3.240000,2.023709,0
2004-03-26,3.270000,3.270000,3.270000,3.270000,2.042446,0
2004-03-29,3.170000,3.170000,3.170000,3.170000,1.979986,0
2004-03-30,3.160000,3.160000,3.160000,3.160000,1.973740,0
2004-03-31,3.200000,3.325000,3.200000,3.325000,2.076799,17474000
2004-04-01,3.250000,3.325000,3.200000,3.225000,2.014339,13520500
2004-04-02,3.275000,3.300000,3.175000,3.175000,1.983109,58619760
2004-04-05,3.210000,3.210000,3.210000,3.210000,2.004970,0
2004-04-06,3.300000,3.325000,3.175000,3.250000,2.029955,86205466
2004-04-07,3.275000,3.275000,3.175000,3.200000,1.998724,56417800
2004-04-08,3.225000,3.275000,3.200000,3.250000,2.029955,35816067
2004-04-09,3.240000,3.240000,3.240000,3.240000,2.023709,0
2004-04-12,3.240000,3.240000,3.240000,3.240000,2.023709,0
2004-04-13,3.325000,3.400000,3.325000,3.375000,2.108029,88035500
2004-04-14,3.300000,3.350000,3.275000,3.275000,2.045569,51782258
2004-04-15,3.275000,3.275000,3.100000,3.200000,1.998724,94700126
2004-04-16,3.150000,3.375000,3.125000,3.375000,2.108029,80664475
2004-04-19,3.300000,3.300000,3.125000,3.275000,2.045569,103109900
2004-04-20,3.200000,3.250000,3.100000,3.150000,1.967494,88464700
2004-04-21,3.000000,3.075000,3.000000,3.000000,1.873804,93503895
2004-04-22,3.000000,3.125000,3.000000,3.075000,1.920649,77484039
2004-04-23,3.150000,3.225000,3.125000,3.200000,1.998724,52006410
2004-04-26,3.200000,3.200000,3.000000,3.025000,1.889419,44275350
2004-04-27,3.050000,3.100000,3.000000,3.000000,1.873804,34447977
2004-04-28,3.025000,3.075000,3.000000,3.050000,1.905034,44800305
2004-04-29,2.975000,2.975000,2.825000,2.925000,1.826959,70559444
2004-04-30,2.900000,2.900000,2.675000,2.800000,1.748884,138264800
2004-05-03,2.825000,2.875000,2.800000,2.875000,1.795728,29946096
2004-05-04,2.900000,3.050000,2.875000,3.000000,1.873804,84978593
2004-05-05,3.025000,3.025000,2.800000,2.975000,1.858189,46802496
2004-05-06,3.000000,3.050000,3.000000,3.025000,1.889419,53140435
2004-05-07,2.950000,3.000000,2.925000,2.975000,1.858189,34581679
2004-05-10,2.850000,2.950000,2.725000,2.750000,1.717654,70021646
2004-05-11,2.775000,2.925000,2.650000,2.800000,1.748884,68054050
2004-05-12,2.925000,2.950000,2.825000,2.825000,1.764499,70784075
2004-05-13,2.825000,2.900000,2.800000,2.850000,1.780113,61798757
2004-05-14,2.900000,2.900000,2.750000,2.750000,1.717654,65489511
2004-05-17,2.750000,2.800000,2.550000,2.650000,1.655194,69718987
2004-05-18,2.850000,2.925000,2.800000,2.900000,1.811344,109377677
2004-05-19,3.000000,3.150000,2.975000,3.100000,1.936264,119683534
2004-05-20,3.025000,3.175000,3.025000,3.100000,1.936264,84258836
2004-05-21,3.075000,3.175000,3.075000,3.125000,1.951879,53817016
2004-05-24,3.125000,3.150000,3.025000,3.150000,1.967494,60807120
