Date,Open,High,Low,Close,Adj Close,Volume
2004-03-14,3.370000,3.370000,3.340000,3.350000,2.092414,0
2004-03-21,3.350000,3.350000,3.240000,3.270000,2.042446,0
2004-03-28,3.170000,3.325000,3.160000,3.175000,1.983109,89614260
2004-04-04,3.210000,3.325000,3.175000,3.240000,2.023709,178439333
2004-04-11,3.240000,3.400000,3.100000,3.375000,2.108029,315182359
2004-04-18,3.300000,3.300000,3.000000,3.200000,1.998724,414568944
2004-04-25,3.200000,3.200000,2.675000,2.800000,1.748884,332347876
2004-05-02,2.825000,3.050000,2.800000,2.975000,1.858189,249449299
2004-05-09,2.850000,2.950000,2.650000,2.750000,1.717654,336148039
2004-05-16,2.750000,3.175000,2.550000,3.125000,1.951879,436856050
2004-05-23,3.125000,3.400000,3.025000,3.350000,2.092414,299162523
2004-05-30,3.300000,3.475000,3.225000,3.300000,2.061184,282814551
2004-06-06,3.350000,3.400000,3.250000,3.350000,2.092414,320378447
2004-06-13,3.400000,3.500000,3.075000,3.150000,1.967494,282178107
2004-06-20,3.200000,3.425000,3.100000,3.400000,2.123644,178548109
2004-06-27,3.400000,3.425000,3.225000,3.400000,2.123644,147441296
2004-07-04,3.375000,3.425000,3.225000,3.250000,2.029955,178911149
2004-07-11,3.275000,3.450000,3.175000,3.375000,2.108029,240514561
2004-07-18,3.400000,3.675000,3.375000,3.600000,2.248564,388469104
2004-07-25,3.525000,3.850000,3.525000,3.750000,2.342255,364467896
2004-08-01,3.750000,3.850000,3.700000,3.750000,2.342255,414042450
2004-08-08,3.675000,3.725000,3.475000,3.650000,2.279795,206983011
2004-08-15,3.650000,3.775000,3.525000,3.750000,2.342255,154249433
2004-08-22,3.775000,3.800000,3.550000,3.650000,2.279795,325164149
2004-08-29,3.675000,3.775000,3.575000,3.750000,2.342255,248979318
2004-09-05,3.775000,3.825000,3.575000,3.700000,2.311025,218460137
2004-09-12,3.700000,3.725000,3.500000,3.650000,2.279795,201700074
2004-09-19,3.625000,4.100000,3.600000,3.950000,2.487482,468135918
2004-09-26,4.000000,4.150000,3.900000,4.100000,2.581942,127155180
2004-10-03,4.250000,4.450000,4.125000,4.350000,2.739378,242076744
2004-10-10,4.300000,4.500000,4.050000,4.200000,2.644916,220596217
2004-10-17,4.175000,4.225000,3.975000,4.100000,2.581942,153401038
2004-10-24,4.000000,4.225000,3.975000,4.025000,2.534712,327971875
2004-10-31,4.025000,4.300000,3.950000,4.150000,2.613430,225022828
2004-11-07,4.150000,4.275000,4.075000,4.150000,2.613430,160367771
2004-11-14,4.200000,4.350000,4.075000,4.325000,2.723634,177934814
2004-11-21,4.300000,4.575000,4.225000,4.300000,2.707891,300967634
2004-11-28,4.350000,4.450000,4.225000,4.275000,2.692147,239400865
2004-12-05,4.250000,4.300000,4.025000,4.100000,2.581942,240404831
2004-12-12,4.100000,4.300000,4.050000,4.275000,2.692147,169301873
2004-12-19,4.275000,4.400000,4.225000,4.225000,2.660660,138744757
2004-12-26,4.250000,4.300000,4.150000,4.175000,2.629173,84971284
2005-01-02,4.175000,4.200000,3.825000,3.975000,2.503225,340021155
2005-01-09,3.950000,3.975000,3.800000,3.925000,2.471738,412366469
2005-01-16,4.000000,4.100000,3.950000,4.050000,2.550456,278412579
2005-01-23,4.050000,4.175000,4.025000,4.125000,2.597687,227526058
2005-01-30,4.100000,4.150000,3.800000,3.875000,2.440251,489785404
2005-02-06,3.925000,3.975000,3.875000,3.950000,2.487482,119754809
2005-02-13,4.075000,4.300000,4.050000,4.275000,2.692147,392825948
2005-02-20,4.350000,4.450000,4.250000,4.400000,2.770865,289400453
2005-02-27,4.500000,4.550000,4.350000,4.350000,2.739378,306524177
2005-03-06,4.425000,4.625000,4.375000,4.400000,2.770865,281747323
2005-03-13,4.400000,4.550000,4.275000,4.500000,2.833839,292036627
2005-03-20,4.525000,4.550000,4.225000,4.270000,2.688998,217420992
2005-03-27,4.270000,4.275000,4.125000,4.250000,2.676404,262325856
2005-04-03,4.300000,4.400000,4.300000,4.300000,2.707891,226199184
